	hCiPSCs_2_corr	hCiPSCs_2_pval	hCiPSCs_2_qval	hCiPSCs_2_ci_low	hCiPSCs_2_ci_high
HMGA1	0.16480527552925217	4.89723642241821e-50	6.770514970014547e-49	0.1434095326214974	0.18604703363335892
DDT	0.1632594116125805	4.049041029696977e-49	5.558995913688141e-48	0.14185324282793482	0.18451296047957977
ESRP1	0.16315995764883878	4.635095227454985e-49	6.319712596330003e-48	0.14175312173289414	0.1844142615349572
RIF1	0.16266491836853272	9.072112776357987e-49	1.228463490332859e-47	0.14125476827403555	0.18392297403934849
NANOG	0.16221109943635695	1.675890863344123e-48	2.2539022019260755e-47	0.1407979206577263	0.18347258516112386
MTHFD2	0.16203131336878848	2.1360871653483403e-48	2.853408328306533e-47	0.14061693726078686	0.18329415548386524
ARPC5L	0.16184701813525598	2.738458597470137e-48	3.6335118437573565e-47	0.14043141615342125	0.18311124920578037
CKS1B	0.1614500337030037	4.671533949703431e-48	6.157081745709121e-47	0.14003179621427608	0.1827172516767928
EIF5A	0.161337499034969	5.433781125449781e-48	7.114294890737893e-47	0.13991851571853126	0.18260556247479423
PABPC1	0.16123687589846683	6.219500373003567e-48	8.089442261465823e-47	0.1398172261732488	0.18250569484888082
YWHAB	0.160942024218126	9.234241652003666e-48	1.1932088722883168e-46	0.13952042432501502	0.18221305448178318
PRDX1	0.1608917184168132	9.877637532889073e-48	1.2680577534104998e-46	0.13946978618227934	0.1821631255849777
RPL4	0.1608407653909317	1.0574781192530185e-47	1.3487962850085274e-46	0.13941849665334724	0.18211255420096178
PHC1	0.1606568956003387	1.3522893425910767e-47	1.713766686091384e-46	0.13923341350898957	0.18193006067267745
HNRNPK	0.16053097023435592	1.6000621535116845e-47	2.014855335982548e-46	0.13910665802711453	0.18180507701045143
CTC-260E6.6	0.1604632229308927	1.7515460374564104e-47	2.1916496937033694e-46	0.13903846441532522	0.1817378360551707
RBM47	0.15947786504281014	6.498515962801065e-47	8.080230225445097e-46	0.13804663811771375	0.18075982031135168
SMC2	0.15910580556644374	1.0637588748821519e-46	1.314407059776259e-45	0.13767214742537068	0.1803905221951159
MT-ND4	0.15904036563620308	1.159933398216182e-46	1.4243405765673242e-45	0.13760628051277415	0.18032556732798405
EIF2S2	0.15891227783300244	1.37392030976734e-46	1.6766916372901426e-45	0.13747735751113563	0.1801984284180088
LIN28A	0.158739751099467	1.7254441295381807e-46	2.0927626037404805e-45	0.13730370696238717	0.18002717866360896
PGD	0.1584891052437048	2.4012458687148166e-46	2.8946726112495075e-45	0.13705143078188306	0.1797783856967451
RRM2	0.1582748505081935	3.1837729789911233e-46	3.791758541846657e-45	0.1368357846320953	0.17956571267118018
RPSA	0.15776902252603262	6.186796633096341e-46	7.324129906366148e-45	0.13632667976057866	0.1790636110080012
EIF5B	0.15760191313020755	7.7014070891958e-46	9.062905842464343e-45	0.1361584902741032	0.1788977302311409
CALM1	0.15750293312733846	8.766993113943588e-46	1.0255825672347026e-44	0.13605887110927625	0.17879947737649093
FZD5	0.15745135464545879	9.379153741097415e-46	1.0907404085970346e-44	0.1360069597319491	0.17874827764322448
DHFR	0.1573590049852181	1.0583328449061657e-45	1.2235813066546722e-44	0.13591401432697542	0.17865660583240403
F11R	0.1573386403433057	1.086890755065301e-45	1.2492924550954072e-44	0.13589351836420308	0.17863639061784634
ALYREF	0.15692156644885139	1.8735449119432215e-45	2.1410394745154618e-44	0.13547375901735154	0.178222373084763
MAP7	0.15666178067150596	2.628001009728531e-45	2.9859528713984515e-44	0.1352123044246442	0.1779644872329785
MT1G	0.1564970422842962	3.256004913972651e-45	3.678355265670818e-44	0.13504650933646634	0.1778009521325918
PFN1	0.15637582532955208	3.811479144773611e-45	4.2814171984189933e-44	0.1349245156125245	0.1776806198227212
UPP1	0.15601588839951153	6.079851861015031e-45	6.790885383743907e-44	0.13456227600665835	0.17732330596831547
TXN	0.155545248579816	1.1176892825443519e-44	1.241388602016957e-43	0.13408863394615508	0.1768560875076139
SNRPE	0.15543501659967537	1.2886434601494114e-44	1.4232671065449085e-43	0.1339777002062508	0.17674665548066582
PTMA	0.15479025033638164	2.9563350086295143e-44	3.247041284478083e-43	0.13332883999848746	0.1761065577301637
HNRNPA2B1	0.15462792446007156	3.6416149215523147e-44	3.9776092264690195e-43	0.13316548633275763	0.1759454043546329
YBX1	0.1546186864482993	3.685052536752003e-44	4.00293893690039e-43	0.1331561898642671	0.17593623303584943
CDC6	0.15332371986546406	1.927983776368244e-43	2.082854604306021e-42	0.13185306630176086	0.1746505787271193
SLC25A5	0.15292134261414927	3.2144819939230946e-43	3.4538211423836727e-42	0.1314481695920933	0.17425108021407865
CBS	0.15278490225076174	3.8216514684633514e-43	4.0840026773794844e-42	0.1313108765430084	0.1741156143954606
RPL7	0.15242034506830046	6.062790418748878e-43	6.44415949347663e-42	0.1309440450969072	0.17375365715416285
NODAL	0.15240237869022769	6.20207252655591e-43	6.556950473262585e-42	0.1309259667889334	0.17373581875929195
NME1	0.15217703859979456	8.244302330112752e-43	8.669673248208996e-42	0.13069922405067771	0.17351208268639662
SRSF7	0.15210303804695374	9.051220294194118e-43	9.467863768053847e-42	0.13062476336541626	0.1734386084044899
VSIG10	0.15194607045710187	1.1032110600576947e-42	1.1479201398600329e-41	0.13046682055957004	0.17328275633739612
