	hCiPSCs_3_corr	hCiPSCs_3_pval	hCiPSCs_3_qval	hCiPSCs_3_ci_low	hCiPSCs_3_ci_high
TDGF1	0.11739541054844273	5.254207088806028e-26	4.923017732023468e-25	0.0957280123059928	0.1389516133257427
GPX1	0.11736586374553554	5.40612129911727e-26	5.041463117148511e-25	0.09569832717356136	0.1389222320572096
NDUFC2	0.11729258321412425	5.801935125839459e-26	5.385176405532681e-25	0.09562470373037393	0.13884936191225541
ARPC2	0.11674613600843385	9.812685304178596e-26	9.065270488953777e-25	0.09507570693320017	0.13830596756571953
RPS13	0.11652977768013391	1.2073864306818555e-25	1.10969160457104e-24	0.0948583427716717	0.13809081438816984
CNTNAP2	0.1165254417128517	1.2124096438408935e-25	1.10969160457104e-24	0.09485398666793217	0.13808650255212424
TKT	0.11650330878998183	1.2383750354597085e-25	1.128233845669974e-24	0.0948317509715491	0.13806449279429484
SFPQ	0.11627512107954156	1.5403809354811983e-25	1.3969417933240043e-24	0.09460250493957337	0.13783757365867988
RPL36A	0.11617263813140061	1.6987599151340834e-25	1.533538060374467e-24	0.09449954742934775	0.13773565971227306
MRPL51	0.11611395026437994	1.7966152022349224e-25	1.6145037521902008e-24	0.09444058800845472	0.1376772974840828
RPS9	0.11599505691105665	2.012295715739547e-25	1.800139651591441e-24	0.09432114499122353	0.1375590633702344
AP2S1	0.11594285072480777	2.1149274110024587e-25	1.8834285997981355e-24	0.0942686976441706	0.1375071464625114
SNRPD1	0.1157205169781811	2.613300932196564e-25	2.3168143241939944e-24	0.09404533819815689	0.13728604335759106
DDT	0.11521418564296962	4.224679179112815e-25	3.728656579065194e-24	0.09353667913121161	0.1367825066019715
SLC25A3	0.11519257859096163	4.311962190682542e-25	3.788777444879727e-24	0.09351497299794176	0.13676101855716005
RPS16	0.11516131484163637	4.441425411990751e-25	3.885264619250316e-24	0.09348356592209953	0.13672992696620143
PRDX1	0.11508163987661792	4.78903167648547e-25	4.1708879402695036e-24	0.09340352588773791	0.13665069055078033
RPS10	0.11507035977885152	4.840374713637347e-25	4.197114389851331e-24	0.09339219412739733	0.1366394725190009
MARCKSL1	0.11491402911478878	5.610688435943299e-25	4.8438126802881665e-24	0.09323514805096807	0.1364840014566877
NLRP2	0.11476433779771864	6.46169226501641e-25	5.55424591649454e-24	0.09308477271599577	0.13633513223835522
RAB3B	0.11468608269701225	6.95626054148105e-25	5.953474930955859e-24	0.09300616042048505	0.13625730652376397
SCNN1A	0.11465769648706042	7.144777906531748e-25	6.088459448798821e-24	0.09297764470870301	0.1362290760032767
GNB2L1	0.11444279896822421	8.745993703870148e-25	7.420956889506988e-24	0.0927617679513451	0.1360153559934401
RPS6	0.11438767165795037	9.211080607479592e-25	7.782182205550065e-24	0.09270638976712028	0.1359605304240283
PRELID1	0.11418036326716668	1.1189981302789073e-24	9.41386937685702e-24	0.09249813915574823	0.13575435555874155
SPINT1	0.11405400091808779	1.259709177878364e-24	1.055273324010816e-23	0.09237120341786371	0.1356286832199542
RPLP2	0.1140103612038007	1.3122668533758782e-24	1.0946631093350679e-23	0.09232736584530875	0.13558528164204287
NDUFA4	0.11397988406925709	1.350254468457027e-24	1.1216189429157742e-23	0.09229675058021704	0.1355549707682425
HINT1	0.11390803860422938	1.4441692815275067e-24	1.1946119956401175e-23	0.09222457965450351	0.1354835170792062
RPLP0	0.1137523079353702	1.6705231675663016e-24	1.3760934592827408e-23	0.0920681443062345	0.13532863484499555
REST	0.11370392503773903	1.7477546331854588e-24	1.4337389667251668e-23	0.09201954269450452	0.1352805153270325
JADE1	0.11346419765425346	2.185786763848189e-24	1.7856613355900288e-23	0.0917787331514587	0.13504209143449167
SSR4	0.11334819124892753	2.4351956100579792e-24	1.9812270457138373e-23	0.09166220398929277	0.13492671490389857
EGR4	0.11327409668850695	2.6090386624579047e-24	2.113962883475114e-23	0.09158777584918475	0.1348530223451342
